Date,Year,Model,Revenue,Quantity Sold,Region,Country,Channel,Fuel Type,Dealer/Channel,Market Segment,Promotion/Discounts (%),Customer Income Band,Unit Price
13/01/2019,2019,BMW X5,118393,1,North America,USA,Wholesale,Hybrid,Fleet,Luxury,3.1,High,118393
14/01/2019,2019,BMW i4,93737,3,Asia,India,Dealership,Electric,Offline,Premium,1.4,Medium,31245.66667
15/01/2019,2019,BMW M8,101997,1,South America,Unknown,Wholesale,Gasoline,Fleet,Luxury,2.7,High,101997
15/01/2019,2019,BMW X1,107838,4,Africa,Nigeria,Dealership,Diesel,Offline,Premium,2,Medium,26959.5
15/01/2019,2019,BMW 6 Series,53877,4,Asia,China,Dealership,Gasoline,Offline,Economy,4.1,Low,13469.25
16/01/2019,2019,BMW iX,73420,5,South America,Unknown,Wholesale,Electric,Fleet,Economy,9.7,Low,14684
16/01/2019,2019,BMW M2,112782,5,South America,Unknown,Dealership,Electric,Offline,Economy,5.4,Medium,22556.4
16/01/2019,2019,BMW iX,100875,1,Asia,South Korea,Wholesale,Electric,Fleet,Luxury,1.6,Medium,100875
16/01/2019,2019,BMW i8,55094,5,Asia,India,Dealership,Electric,Fleet,Economy,7.7,Low,11018.8
17/01/2019,2019,BMW X6,104500,2,Europe,Spain,Wholesale,Diesel,Online,Luxury,2.9,High,52250
17/01/2019,2019,BMW M3,60373,1,South America,Unknown,Wholesale,Electric,Offline,Luxury,3.5,High,60373
17/01/2019,2019,BMW 8 Series,53898,5,Africa,Nigeria,Wholesale,Gasoline,Offline,Economy,9.2,Low,10779.6
17/01/2019,2019,BMW 2 Series,77937,5,South America,Unknown,Dealership,Diesel,Offline,Economy,7.2,Low,15587.4
,,,,,,,,,,,,,
18/01/2019,2019,BMW i3,66388,2,Asia,India,Wholesale,Electric,Offline,Premium,1.5,Low,33194
18/01/2019,2019,BMW 5 Series,118627,2,North America,USA,Dealership,Hybrid,Offline,Luxury,0.9,High,59313.5
18/01/2019,2019,BMW 5 Series,112462,1,Africa,South Africa,Wholesale,Hybrid,Offline,Luxury,1.8,Medium,112462
19/01/2019,2019,BMW Z4,64030,3,Africa,Nigeria,Dealership,Gasoline,Offline,Economy,3.7,Low,21343.33333
19/01/2019,2019,BMW i3,91913,2,South America,Unknown,Wholesale,Electric,Fleet,Premium,3.7,Medium,45956.5
19/01/2019,2019,BMW 5 Series,53184,5,North America,Mexico,Dealership,Hybrid,Offline,Economy,7.8,Medium,10636.8
19/01/2019,2019,BMW 2 Series,76721,1,Asia,South Korea,Wholesale,Diesel,Online,Luxury,0.4,High,76721
,,,,,,,,,,,,,
19/01/2019,2019,BMW 4 Series,103236,3,Asia,South Korea,Wholesale,Gasoline,Offline,Premium,0.8,High,34412
,,,,,,,,,,,,,
20/01/2019,2019,BMW i3,72296,1,Europe,UK,Dealership,Electric,Fleet,Luxury,1.9,High,72296
20/01/2019,2019,BMW M4,34286,5,South America,Unknown,Dealership,Gasoline,Fleet,Economy,8.4,Low,6857.2
21/01/2019,2019,BMW i3,117156,3,South America,Unknown,Wholesale,Electric,Fleet,Premium,4,Medium,39052
21/01/2019,2019,BMW M8,73639,3,North America,Canada,Wholesale,Gasoline,Offline,Economy,3.8,Medium,24546.33333
21/01/2019,2019,BMW 6 Series,60431,2,South America,Unknown,Wholesale,Gasoline,Offline,Premium,3.8,Low,30215.5
21/01/2019,2019,BMW M5,92363,4,Africa,Egypt,Dealership,Electric,Offline,Economy,3.8,Medium,23090.75
21/01/2019,2019,BMW iX3,45072,5,Europe,France,Wholesale,Electric,Online,Economy,8.1,Low,9014.4
21/01/2019,2019,BMW 6 Series,40916,4,Africa,South Africa,Wholesale,Gasoline,Offline,Economy,4.1,Medium,10229
22/01/2019,2019,BMW 7 Series,77369,5,South America,Unknown,Wholesale,Electric,Offline,Economy,3.5,Medium,15473.8
22/01/2019,2019,BMW iX3,48946,1,North America,Mexico,Wholesale,Electric,Offline,Premium,0.5,Medium,48946
23/01/2019,2019,BMW 6 Series,51863,4,South America,Unknown,Dealership,Gasoline,Online,Economy,6.5,Low,12965.75
23/01/2019,2019,BMW Z4,90064,3,Europe,Spain,Wholesale,Gasoline,Fleet,Premium,3.8,Medium,30021.33333
24/01/2019,2019,BMW X5,90656,2,Europe,Italy,Wholesale,Hybrid,Online,Premium,2.4,High,45328
24/01/2019,2019,BMW M8,53545,5,Europe,Spain,Wholesale,Gasoline,Fleet,Economy,6.4,Medium,10709
24/01/2019,2019,BMW X1,54019,2,Africa,Nigeria,Wholesale,Diesel,Offline,Premium,2.9,Low,27009.5
25/01/2019,2019,BMW M2,86625,5,Europe,UK,Dealership,Electric,Offline,Economy,5.2,Low,17325
26/01/2019,2019,BMW 5 Series,81701,3,North America,Canada,Wholesale,Hybrid,Offline,Premium,3.2,Medium,27233.66667
27/01/2019,2019,BMW M2,57386,3,South America,Unknown,Wholesale,Electric,Offline,Economy,5.1,Low,19128.66667
28/01/2019,2019,BMW 7 Series,105769,3,Asia,South Korea,Dealership,Electric,Online,Premium,3.3,Medium,35256.33333
28/01/2019,2019,BMW X2,47822,3,Africa,Nigeria,Wholesale,Hybrid,Offline,Economy,9.8,Low,15940.66667
28/01/2019,2019,BMW M2,105462,3,South America,Unknown,Wholesale,Electric,Offline,Premium,3,Low,35154
28/01/2019,2019,BMW M5,70023,2,Europe,Italy,Wholesale,Electric,Offline,Premium,3.3,High,35011.5
28/01/2019,2019,BMW M3,85878,1,Europe,Spain,Wholesale,Electric,Offline,Luxury,3,High,85878
29/01/2019,2019,BMW i3,77984,4,South America,Unknown,Wholesale,Electric,Offline,Economy,5.4,Low,19496
29/01/2019,2019,BMW 5 Series,86577,2,North America,USA,Wholesale,Hybrid,Offline,Premium,2.7,Medium,43288.5
29/01/2019,2019,BMW X4,106369,4,Africa,Nigeria,Dealership,Electric,Offline,Premium,1.4,Medium,26592.25
29/01/2019,2019,BMW X2,80929,1,South America,Unknown,Dealership,Hybrid,Fleet,Luxury,3.6,High,80929
30/01/2019,2019,BMW iX3,57081,5,Asia,China,Wholesale,Electric,Offline,Economy,9.3,Medium,11416.2
30/01/2019,2019,BMW X3,32751,1,Africa,Nigeria,Dealership,Diesel,Offline,Premium,0.9,Medium,32751
31/01/2019,2019,BMW M4,70194,1,Africa,South Africa,Dealership,Gasoline,Offline,Luxury,3,Medium,70194
31/01/2019,2019,BMW X1,88479,5,Africa,South Africa,Dealership,Diesel,Fleet,Economy,3,Medium,17695.8
31/01/2019,2019,BMW 4 Series,56953,4,Africa,Egypt,Wholesale,Gasoline,Offline,Economy,8,Low,14238.25
,,,,,,,,,,,,,
31/01/2019,2019,BMW X2,48642,3,Asia,South Korea,Wholesale,Hybrid,Offline,Economy,9.3,Medium,16214
31/01/2019,2019,BMW X5,81176,5,Asia,China,Wholesale,Hybrid,Online,Economy,4.1,Low,16235.2
31/01/2019,2019,BMW X7,51863,5,North America,Canada,Wholesale,Gasoline,Online,Economy,8.9,Low,10372.6
31/01/2019,2019,BMW i4,48114,1,Europe,Italy,Dealership,Electric,Offline,Premium,0.3,Medium,48114
1/2/2019,2019,BMW X5,86843,5,Africa,Nigeria,Dealership,Hybrid,Offline,Economy,4.4,High,17368.6
1/2/2019,2019,BMW i4,72563,2,Europe,Spain,Wholesale,Electric,Fleet,Premium,3,Medium,36281.5
1/2/2019,2019,BMW 4 Series,60373,3,Europe,UK,Wholesale,Gasoline,Online,Economy,3.8,Low,20124.33333
,,,,,,,,,,,,,
1/2/2019,2019,BMW 6 Series,108104,1,Europe,UK,Wholesale,Gasoline,Online,Luxury,0.2,Medium,108104
1/2/2019,2019,BMW X4,94746,4,Asia,China,Wholesale,Electric,Offline,Economy,4.7,Medium,23686.5
1/2/2019,2019,BMW X5,116973,4,North America,Mexico,Dealership,Hybrid,Online,Premium,3.8,Medium,29243.25
2/2/2019,2019,BMW 3 Series,77470,4,South America,Unknown,Wholesale,Diesel,Offline,Economy,5.5,Low,19367.5
,,,,,,,,,,,,,
2/2/2019,2019,BMW X5,75760,4,Asia,South Korea,Dealership,Hybrid,Online,Economy,6.4,Low,18940
3/2/2019,2019,BMW X3,109449,4,Africa,South Africa,Wholesale,Diesel,Fleet,Premium,1,Medium,27362.25
3/2/2019,2019,BMW 1 Series,73884,1,Asia,China,Wholesale,Electric,Offline,Luxury,0.8,High,73884
,,,,,,,,,,,,,
3/2/2019,2019,BMW 5 Series,35565,2,Europe,Germany,Wholesale,Hybrid,Fleet,Economy,5.1,Low,17782.5
3/2/2019,2019,BMW iX3,116488,2,Africa,Egypt,Wholesale,Electric,Offline,Luxury,0.9,High,58244
3/2/2019,2019,BMW X6,107554,4,Asia,Japan,Wholesale,Diesel,Offline,Premium,0.7,Medium,26888.5
4/2/2019,2019,BMW 5 Series,51340,2,South America,Unknown,Wholesale,Hybrid,Offline,Premium,3.9,Low,25670
4/2/2019,2019,BMW X3,108651,3,South America,Unknown,Wholesale,Diesel,Fleet,Premium,1.1,Medium,36217
5/2/2019,2019,BMW M4,61772,2,South America,Unknown,Dealership,Gasoline,Offline,Premium,3.9,Low,30886
6/2/2019,2019,BMW 4 Series,112888,5,North America,Mexico,Dealership,Gasoline,Fleet,Economy,3.3,Low,22577.6
,,,,,,,,,,,,,
6/2/2019,2019,BMW 7 Series,88975,4,Asia,China,Dealership,Electric,Offline,Economy,4.4,Low,22243.75
6/2/2019,2019,BMW i4,111344,5,Europe,Italy,Wholesale,Electric,Offline,Economy,9.6,Low,22268.8
7/2/2019,2019,BMW i3,36918,5,Asia,Japan,Wholesale,Electric,Fleet,Economy,7.9,Low,7383.6
7/2/2019,2019,BMW X3,80711,4,South America,Unknown,Dealership,Diesel,Offline,Economy,9.2,Low,20177.75
7/2/2019,2019,BMW X2,60070,1,North America,USA,Dealership,Hybrid,Online,Luxury,1.5,Medium,60070
7/2/2019,2019,BMW 4 Series,43366,2,North America,Mexico,Wholesale,Gasoline,Online,Economy,3.5,Medium,21683
,,,,,,,,,,,,,
8/2/2019,2019,BMW X1,39200,3,Asia,India,Dealership,Diesel,Offline,Economy,3.4,Medium,13066.66667
8/2/2019,2019,BMW M3,89151,1,Asia,South Korea,Dealership,Electric,Offline,Luxury,0.6,High,89151
8/2/2019,2019,BMW X5,53226,3,Africa,South Africa,Wholesale,Hybrid,Offline,Economy,3.1,High,17742
8/2/2019,2019,BMW X5,116891,4,Asia,South Korea,Wholesale,Hybrid,Offline,Premium,1,High,29222.75
8/2/2019,2019,BMW Z4,90085,2,Europe,Germany,Wholesale,Gasoline,Online,Premium,3.3,Low,45042.5
8/2/2019,2019,BMW M4,53486,1,Europe,Italy,Dealership,Gasoline,Fleet,Luxury,3.1,High,53486
9/2/2019,2019,BMW iX,34700,4,Europe,Italy,Wholesale,Electric,Fleet,Economy,6.4,Medium,8675
9/2/2019,2019,BMW M4,111863,1,Asia,South Korea,Dealership,Gasoline,Offline,Luxury,3.8,High,111863
9/2/2019,2019,BMW M4,37988,5,South America,Unknown,Wholesale,Gasoline,Offline,Economy,7,Low,7597.6
10/2/2019,2019,BMW 7 Series,31634,2,Africa,Egypt,Wholesale,Electric,Offline,Economy,9.8,Low,15817
10/2/2019,2019,BMW 4 Series,94052,2,South America,Unknown,Wholesale,Gasoline,Offline,Premium,2.9,Medium,47026
,,,,,,,,,,,,,
10/2/2019,2019,BMW i3,73352,4,Europe,France,Wholesale,Electric,Online,Economy,4.9,Medium,18338
11/2/2019,2019,BMW X6,90634,4,Asia,Japan,Dealership,Diesel,Online,Economy,7.5,High,22658.5
11/2/2019,2019,BMW X7,75939,4,Africa,Egypt,Wholesale,Gasoline,Offline,Economy,6.8,Low,18984.75
11/2/2019,2019,BMW i8,95327,2,Europe,UK,Dealership,Electric,Offline,Premium,2.3,Medium,47663.5
13/02/2019,2019,BMW X4,117498,5,South America,Unknown,Dealership,Electric,Offline,Economy,7,Medium,23499.6
13/02/2019,2019,BMW iX3,100938,2,Europe,Spain,Wholesale,Electric,Online,Luxury,0.2,High,50469
13/02/2019,2019,BMW i8,36900,4,North America,Mexico,Wholesale,Electric,Fleet,Economy,3.3,Low,9225
14/02/2019,2019,BMW M4,49332,3,Africa,South Africa,Wholesale,Gasoline,Offline,Economy,5.6,Medium,16444
14/02/2019,2019,BMW X2,100672,5,Asia,Japan,Wholesale,Hybrid,Offline,Economy,7.3,Medium,20134.4
15/02/2019,2019,BMW X3,101627,2,North America,Canada,Wholesale,Diesel,Online,Luxury,0.3,High,50813.5
15/02/2019,2019,BMW 7 Series,98203,3,South America,Unknown,Dealership,Electric,Offline,Premium,2.6,Medium,32734.33333
15/02/2019,2019,BMW 8 Series,118499,5,Asia,China,Dealership,Gasoline,Offline,Economy,3.2,Medium,23699.8
15/02/2019,2019,BMW M2,85943,2,Asia,South Korea,Wholesale,Electric,Offline,Premium,1.4,Medium,42971.5
16/02/2019,2019,BMW 1 Series,36221,4,South America,Unknown,Dealership,Electric,Offline,Economy,8.8,Low,9055.25
,,,,,,,,,,,,,
16/02/2019,2019,BMW M3,51788,2,North America,Canada,Wholesale,Electric,Offline,Premium,3.4,Medium,25894
16/02/2019,2019,BMW 7 Series,59350,5,Asia,China,Wholesale,Electric,Offline,Economy,3.5,Low,11870
17/02/2019,2019,BMW 7 Series,43264,4,Africa,South Africa,Wholesale,Electric,Offline,Economy,9.5,Low,10816
17/02/2019,2019,BMW i4,60816,1,North America,Mexico,Wholesale,Electric,Fleet,Luxury,0.7,High,60816
17/02/2019,2019,BMW X1,37426,3,South America,Unknown,Wholesale,Diesel,Fleet,Economy,9.5,Low,12475.33333
18/02/2019,2019,BMW 3 Series,44287,4,Europe,France,Dealership,Diesel,Online,Economy,8.7,Low,11071.75
,,,,,,,,,,,,,
18/02/2019,2019,BMW 7 Series,119622,4,Asia,South Korea,Wholesale,Electric,Offline,Premium,2.8,High,29905.5
18/02/2019,2019,BMW X6,78659,5,Asia,China,Dealership,Diesel,Offline,Economy,4.2,Medium,15731.8
19/02/2019,2019,BMW X6,91852,5,Africa,Egypt,Wholesale,Diesel,Offline,Economy,7.4,High,18370.4
19/02/2019,2019,BMW iX3,42583,3,Europe,Spain,Wholesale,Electric,Offline,Economy,3.9,Low,14194.33333
19/02/2019,2019,BMW i8,67455,5,Europe,Spain,Wholesale,Electric,Online,Economy,4.6,High,13491
19/02/2019,2019,BMW X4,102454,4,Asia,Japan,Wholesale,Electric,Offline,Premium,3.2,Medium,25613.5
19/02/2019,2019,BMW X5,113401,3,Europe,UK,Wholesale,Hybrid,Offline,Premium,0.6,Medium,37800.33333
20/02/2019,2019,BMW i8,63314,3,South America,Unknown,Wholesale,Electric,Offline,Economy,8.3,Low,21104.66667
20/02/2019,2019,BMW i8,42134,2,Europe,Germany,Dealership,Electric,Offline,Economy,7.6,Low,21067
20/02/2019,2019,BMW i8,67525,4,Africa,Nigeria,Wholesale,Electric,Offline,Economy,3.9,Low,16881.25
20/02/2019,2019,BMW M4,90345,4,Africa,Egypt,Wholesale,Gasoline,Offline,Economy,8.3,Medium,22586.25
21/02/2019,2019,BMW 2 Series,63617,5,North America,Mexico,Wholesale,Diesel,Online,Economy,9.8,Low,12723.4
,,,,,,,,,,,,,
21/02/2019,2019,BMW 2 Series,93444,4,Europe,Germany,Wholesale,Diesel,Offline,Economy,9.1,Medium,23361
,,,,,,,,,,,,,
21/02/2019,2019,BMW X6,113489,5,Africa,South Africa,Wholesale,Diesel,Offline,Economy,5,Low,22697.8
21/02/2019,2019,BMW i4,36487,4,Europe,Italy,Wholesale,Electric,Offline,Economy,3.9,Low,9121.75
22/02/2019,2019,BMW M8,84890,2,Europe,UK,Wholesale,Gasoline,Fleet,Premium,2,High,42445
22/02/2019,2019,BMW X5,86865,4,Asia,South Korea,Wholesale,Hybrid,Online,Economy,7.6,Medium,21716.25
22/02/2019,2019,BMW iX3,76295,2,Africa,Egypt,Wholesale,Electric,Online,Premium,3.8,Medium,38147.5
23/02/2019,2019,BMW X5,117702,4,Asia,South Korea,Wholesale,Hybrid,Offline,Premium,3.1,Medium,29425.5
24/02/2019,2019,BMW 6 Series,80294,4,Asia,Japan,Wholesale,Gasoline,Online,Economy,6.2,Medium,20073.5
24/02/2019,2019,BMW X2,108959,1,North America,Canada,Wholesale,Hybrid,Online,Luxury,3.4,High,108959
24/02/2019,2019,BMW M4,106844,4,Africa,South Africa,Dealership,Gasoline,Offline,Premium,0.6,Medium,26711
25/02/2019,2019,BMW 5 Series,81564,2,North America,Canada,Wholesale,Hybrid,Online,Premium,4,Low,40782
25/02/2019,2019,BMW X4,35804,3,South America,Unknown,Dealership,Electric,Offline,Economy,4,Low,11934.66667
26/02/2019,2019,BMW X6,78643,2,Africa,South Africa,Wholesale,Diesel,Offline,Premium,2.7,High,39321.5
27/02/2019,2019,BMW 2 Series,119063,4,North America,Mexico,Dealership,Diesel,Online,Premium,2.4,High,29765.75
,,,,,,,,,,,,,
27/02/2019,2019,BMW i8,64635,5,South America,Unknown,Wholesale,Electric,Online,Economy,5.4,Medium,12927
27/02/2019,2019,BMW 8 Series,43068,1,South America,Unknown,Wholesale,Gasoline,Offline,Premium,2,Low,43068
28/02/2019,2019,BMW X6,92306,5,Africa,Egypt,Wholesale,Diesel,Offline,Economy,4.7,Low,18461.2
28/02/2019,2019,BMW X4,97639,1,Asia,China,Wholesale,Electric,Offline,Luxury,0.5,High,97639
28/02/2019,2019,BMW X5,34163,1,North America,USA,Dealership,Hybrid,Offline,Premium,1.6,Medium,34163
2/3/2019,2019,BMW Z4,65169,5,North America,Canada,Wholesale,Gasoline,Offline,Economy,4.8,Low,13033.8
2/3/2019,2019,BMW X6,46515,4,Africa,South Africa,Wholesale,Diesel,Offline,Economy,9.4,High,11628.75
3/3/2019,2019,BMW 4 Series,101533,2,Africa,Nigeria,Dealership,Gasoline,Fleet,Luxury,3.4,High,50766.5
,,,,,,,,,,,,,
3/3/2019,2019,BMW X2,89432,5,North America,USA,Wholesale,Hybrid,Offline,Economy,4.5,Medium,17886.4
3/3/2019,2019,BMW Z4,115343,3,South America,Unknown,Wholesale,Gasoline,Offline,Premium,1,High,38447.66667
4/3/2019,2019,BMW 3 Series,114463,1,Africa,Egypt,Wholesale,Diesel,Offline,Luxury,2.3,High,114463
,,,,,,,,,,,,,
4/3/2019,2019,BMW iX,97741,2,South America,Unknown,Wholesale,Electric,Online,Premium,0.9,Medium,48870.5
4/3/2019,2019,BMW 5 Series,109517,3,Asia,South Korea,Dealership,Hybrid,Fleet,Premium,2.9,Low,36505.66667
4/3/2019,2019,BMW X7,72018,2,North America,USA,Wholesale,Gasoline,Online,Premium,1.1,Medium,36009
5/3/2019,2019,BMW i4,92546,4,North America,USA,Dealership,Electric,Offline,Economy,5,Medium,23136.5
5/3/2019,2019,BMW 6 Series,110490,3,North America,Canada,Dealership,Gasoline,Offline,Premium,3.1,Medium,36830
5/3/2019,2019,BMW 7 Series,106167,5,Europe,France,Dealership,Electric,Offline,Economy,3.6,Low,21233.4
6/3/2019,2019,BMW X4,107179,2,South America,Unknown,Dealership,Electric,Fleet,Luxury,1.2,High,53589.5
7/3/2019,2019,BMW 8 Series,59292,5,North America,Mexico,Wholesale,Gasoline,Offline,Economy,4.8,Low,11858.4
7/3/2019,2019,BMW Z4,88990,5,Africa,South Africa,Wholesale,Gasoline,Offline,Economy,9.3,Medium,17798
7/3/2019,2019,BMW 4 Series,58949,2,Europe,Germany,Dealership,Gasoline,Fleet,Premium,3.7,High,29474.5
,,,,,,,,,,,,,
7/3/2019,2019,BMW i3,86964,2,Africa,Nigeria,Dealership,Electric,Offline,Premium,2,High,43482
8/3/2019,2019,BMW 7 Series,97541,1,Africa,South Africa,Dealership,Electric,Offline,Luxury,2.1,Medium,97541
8/3/2019,2019,BMW M2,97419,1,Europe,Italy,Wholesale,Electric,Online,Luxury,1.8,High,97419
8/3/2019,2019,BMW 2 Series,64527,3,Africa,Nigeria,Dealership,Diesel,Offline,Economy,4.9,Low,21509
,,,,,,,,,,,,,
8/3/2019,2019,BMW i3,58385,3,South America,Unknown,Wholesale,Electric,Offline,Economy,8.5,Low,19461.66667
8/3/2019,2019,BMW 7 Series,68913,3,Asia,India,Dealership,Electric,Fleet,Economy,6.9,Low,22971
9/3/2019,2019,BMW M3,104861,1,Asia,Japan,Wholesale,Electric,Fleet,Luxury,3.2,High,104861
9/3/2019,2019,BMW iX,74133,5,Africa,Nigeria,Wholesale,Electric,Fleet,Economy,4.1,Low,14826.6
10/3/2019,2019,BMW i8,101484,4,Africa,Nigeria,Dealership,Electric,Online,Premium,0.3,Medium,25371
10/3/2019,2019,BMW 6 Series,89481,4,South America,Unknown,Wholesale,Gasoline,Offline,Economy,3,Medium,22370.25
10/3/2019,2019,BMW 4 Series,44227,2,Africa,Nigeria,Wholesale,Gasoline,Offline,Economy,8,Low,22113.5
,,,,,,,,,,,,,
11/3/2019,2019,BMW X3,105969,1,North America,Mexico,Dealership,Diesel,Offline,Luxury,1.9,High,105969
11/3/2019,2019,BMW X2,96042,2,North America,Mexico,Dealership,Hybrid,Offline,Premium,0.4,Medium,48021
12/3/2019,2019,BMW 1 Series,65271,4,North America,Canada,Wholesale,Electric,Fleet,Economy,3.6,Low,16317.75
,,,,,,,,,,,,,
12/3/2019,2019,BMW 1 Series,112594,2,Asia,India,Wholesale,Electric,Fleet,Luxury,1.1,High,56297
,,,,,,,,,,,,,
12/3/2019,2019,BMW M5,105653,1,South America,Unknown,Wholesale,Electric,Offline,Luxury,3.7,High,105653
12/3/2019,2019,BMW X3,55775,1,North America,Canada,Wholesale,Diesel,Fleet,Luxury,1.5,High,55775
13/03/2019,2019,BMW Z4,45014,1,South America,Unknown,Dealership,Gasoline,Offline,Premium,3.4,Medium,45014
13/03/2019,2019,BMW 4 Series,69314,4,Europe,France,Wholesale,Gasoline,Offline,Economy,9.9,Low,17328.5
,,,,,,,,,,,,,
14/03/2019,2019,BMW i4,63336,1,Asia,China,Wholesale,Electric,Offline,Luxury,2.3,High,63336
14/03/2019,2019,BMW X5,90690,3,South America,Unknown,Wholesale,Hybrid,Offline,Premium,3.7,Medium,30230
14/03/2019,2019,BMW 5 Series,56627,3,Europe,Spain,Wholesale,Hybrid,Offline,Economy,6.3,Low,18875.66667
15/03/2019,2019,BMW 6 Series,37587,1,Africa,South Africa,Wholesale,Gasoline,Fleet,Premium,1.7,High,37587
15/03/2019,2019,BMW M8,73023,3,South America,Unknown,Wholesale,Gasoline,Offline,Economy,9.7,Medium,24341
15/03/2019,2019,BMW 7 Series,64229,1,South America,Unknown,Wholesale,Electric,Fleet,Luxury,3.4,High,64229
15/03/2019,2019,BMW M8,32870,4,Asia,India,Wholesale,Gasoline,Offline,Economy,4.7,Low,8217.5
15/03/2019,2019,BMW X4,77457,3,North America,USA,Wholesale,Electric,Offline,Premium,1.9,Medium,25819
16/03/2019,2019,BMW 1 Series,65500,4,South America,Unknown,Wholesale,Electric,Fleet,Economy,3.8,Low,16375
,,,,,,,,,,,,,
16/03/2019,2019,BMW X1,119547,3,Europe,France,Dealership,Diesel,Offline,Premium,0.1,Low,39849
16/03/2019,2019,BMW 5 Series,93503,5,South America,Unknown,Dealership,Hybrid,Offline,Economy,10,Medium,18700.6
17/03/2019,2019,BMW M4,92237,5,South America,Unknown,Wholesale,Gasoline,Fleet,Economy,6.4,Low,18447.4
18/03/2019,2019,BMW 5 Series,117694,4,Africa,Egypt,Wholesale,Hybrid,Offline,Premium,3,Low,29423.5
18/03/2019,2019,BMW i4,102378,3,Africa,Nigeria,Dealership,Electric,Offline,Premium,1.9,Medium,34126
18/03/2019,2019,BMW X2,41423,5,Europe,France,Dealership,Hybrid,Online,Economy,3.7,Low,8284.6
19/03/2019,2019,BMW iX,49039,1,Asia,South Korea,Wholesale,Electric,Online,Premium,1.5,Medium,49039
19/03/2019,2019,BMW i8,64511,2,North America,Mexico,Wholesale,Electric,Fleet,Premium,2.9,High,32255.5
20/03/2019,2019,BMW X6,109798,5,North America,Mexico,Wholesale,Diesel,Offline,Economy,3.5,Low,21959.6
20/03/2019,2019,BMW X6,53583,5,Africa,Nigeria,Dealership,Diesel,Offline,Economy,10,Low,10716.6
20/03/2019,2019,BMW X4,52765,1,South America,Unknown,Wholesale,Electric,Fleet,Luxury,0.5,High,52765
20/03/2019,2019,BMW Z4,106730,5,North America,Canada,Wholesale,Gasoline,Offline,Economy,3.4,Low,21346
20/03/2019,2019,BMW X3,94546,5,North America,Canada,Wholesale,Diesel,Offline,Economy,3.5,Low,18909.2
20/03/2019,2019,BMW 7 Series,69530,5,Europe,Spain,Wholesale,Electric,Online,Economy,4.5,Low,13906
20/03/2019,2019,BMW X3,58111,3,North America,Canada,Wholesale,Diesel,Offline,Economy,5.2,Medium,19370.33333
20/03/2019,2019,BMW iX3,31076,5,South America,Unknown,Wholesale,Electric,Offline,Economy,6.5,Medium,6215.2
